sku	price	quantity	leadtime-to-ship
9969934-HIGH-YLLW-BLACK-40/7.25	224.99	0	1
9969934-HIGH-YLLW-BLACK-40.5/7.5	224.99	0	1
9969934-HIGH-YLLW-BLACK-41/8	224.99	0	1
9969934-HIGH-YLLW-BLACK-41.5/8.25	224.99	0	1
9969934-HIGH-YLLW-BLACK-42/8.75	224.99	0	1
9969934-HIGH-YLLW-BLACK-42.5/9	224.99	0	1
9969934-HIGH-YLLW-BLACK-43/9.5	224.99	0	1
9969934-HIGH-YLLW-BLACK-43.5/10	224.99	0	1
9969934-HIGH-YLLW-BLACK-44/10.25	224.99	0	1
9969914-BLACK-HEATHER-2X-LARGE	26.99	0	1
9969920-BLACK-LARGE	31.45	0	1
9969934-BLACK-42.5/9	224.99	0	1
9969934-BLACK-43/9.5	224.99	0	1
9969934-BLACK-43.5/10	224.99	0	1
9969934-HIGH-YLLW-BLACK-45/11	224.99	0	1
9969934-HIGH-YLLW-BLACK-45.5/11.75	224.99	0	1
9969934-HIGH-YLLW-BLACK-46/12	224.99	0	1
9969934-HIGH-YLLW-BLACK-46.5/12.25	224.99	0	1
9969934-HIGH-YLLW-BLACK-47/12.75	224.99	0	1
9969934-HIGH-YLLW-BLACK-48/13.5	224.99	0	1
9969934-BLACK-49/14	224.99	0	1
9969934-BLACK-50/14.5	224.99	0	1
9969935-BLK-DYN-GREEN-36	161.95	0	1
9969935-BLK-DYN-GREEN-37	161.95	0	1
9969935-BLK-DYN-GREEN-37.5	161.95	0	1
9969935-BLK-DYN-GREEN-40	161.95	0	1
9969935-BLK-DYN-GREEN-40.5	161.95	0	1
9969935-BLK-DYN-GREEN-41	161.95	0	1
9969935-BLK-DYN-GREEN-41.5	161.95	0	1
9969935-BLK-DYN-GREEN-42	161.95	0	1
9969935-BLK-DYN-GREEN-42.5	161.95	0	1
9969935-BLK-DYN-GREEN-43	161.95	0	1
793573158505	44	0	
793573158598	44	0	
9969960-STRAWBERRY-POUCH	3	0	
9969923-BLU-JEWEL-WHITE-MEDIUM	23.35	0	1
9969934-BLACK-45/11	224.99	0	1
9969935-BLK-DYN-GREEN-38.5	161.95	0	1
9969935-BLK-DYN-GREEN-39	161.95	0	1
9969961-QUACK-YOUTH-OSFA	37.49	0	1
9969961-TIMBER-YOUTH-OSFA	37.49	0	1
9969977-GREY-42/8.3	129.99	0	1
9969977-GREY-43/8.9	129.99	0	1
9969977-GREY-44/9.7	129.99	0	1
9969977-GREY-45/10.5	129.99	0	1
9969977-GREY-46/11.2	129.99	0	1
9969977-GREY-47/11.8	129.99	0	1
9970005-PURP-ELEPHANT-S-M	10.99	0	1
9970007-GREY-WHEEL-S-M	10.99	0	1
9970022-BLACK-48/13.5	249.99	0	1
9970022-BLACK-39/5	249.99	0	1
9970022-BLACK-39.5/5.5	249.99	0	1
9970022-BLACK-40/6	249.99	0	1
9970022-BLACK-40.5/6.5	249.99	0	1
9970022-BLACK-41/7	249.99	0	1
9970022-BLACK-41.5/7.5	249.99	0	1
9970022-BLACK-42/8	249.99	0	1
9970022-BLACK-42.5/8.5	249.99	0	1
9970022-BLACK-43/9	249.99	0	1
9970022-BLACK-43.5/9.5	249.99	0	1
9970022-BLACK-44/10	249.99	0	1
9970022-BLACK-44.5/10.5	249.99	0	1
9970022-BLACK-46.5/12.5	249.99	0	1
9970022-BLACK-47/13	249.99	0	1
9970022-BLACK-50/15	249.99	0	1
9970022-WHITE-BLACK-39/5	249.99	0	1
9970022-WHITE-BLACK-40/6	249.99	0	1
9970022-WHITE-BLACK-41/7	249.99	0	1
9970022-WHITE-BLACK-41.5/7.5	249.99	0	1
9970022-WHITE-BLACK-42/8	249.99	0	1
9970022-WHITE-BLACK-42.5/8.5	249.99	0	1
9970022-WHITE-BLACK-43/9	249.99	0	1
9970022-WHITE-BLACK-43.5/9.5	249.99	0	1
9970022-WHITE-BLACK-44/10	249.99	0	1
9970022-WHITE-BLACK-44.5/10.5	249.99	0	1
9970022-WHITE-BLACK-45/11	249.99	0	1
9970022-WHITE-BLACK-45.5/11.5	249.99	0	1
9970022-WHITE-BLACK-46/12	249.99	0	1
9970022-WHITE-BLACK-46.5/12.5	249.99	0	1
9970022-WHITE-BLACK-47/13	249.99	0	1
9970022-WHITE-BLACK-48/13.5	249.99	0	1
9970022-WHITE-BLACK-50/15	249.99	0	1
9970033-BLK-INFRED-M-55-59	76.99	0	1
9970033-BLK-INFRED-L-58-62	76.99	0	1
9970033-MATTE-BLACK-S-52-56	76.99	0	1
9970033-MATTE-BLACK-M-55-59	76.99	0	1
9970033-MATTE-BLACK-L-58-62	76.99	0	1
9970033-MAT-TI-BLUE-SLA-S-52-56	76.99	0	1
9970033-MAT-TI-BLUE-SLA-M-55-59	76.99	0	1
9970033-MAT-TI-BLUE-SLA-L-58-62	76.99	0	1
9970033-WHITE-FLASH-S-52-56	76.99	0	1
9970033-WHITE-FLASH-M-55-59	76.99	0	1
9970033-WHITE-FLASH-L-58-62	76.99	0	1
